"Nome Parlamentar","Partido","UF","Titular/Suplente/Efetivado","Endereço","Anexo","Endereço (continuação)","Gabinete","Endereço (complemento)","Telefone","Fax","Mês Aniversário","Dia Aniversário","Correio Eletrônico","Nome sem Acento","Tratamento","Nome Civil"
"ALEX SANTANA","PDT","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",541,"Brasília - DF - CEP 70160-900","3215-5541","3215-2541","06","22","dep.alexsantana@camara.leg.br","ALEX SANTANA","Exmo. Senhor Deputado","ALEX MARCO SANTANA SOUSA"
"ALEXANDRE FROTA ","PSDB","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",216,"Brasília - DF - CEP 70160-900","3215-5216","3215-2216","10","14","dep.alexandrefrota@camara.leg.br","ALEXANDRE FROTA ","Exmo. Senhor Deputado","ALEXANDRE FROTA DE ANDRADE"
"ALEXANDRE LEITE","DEM","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",841,"Brasília - DF - CEP 70160-900","3215-5841","3215-2841","04","18","dep.alexandreleite@camara.leg.br","ALEXANDRE LEITE","Exmo. Senhor Deputado","ALEXANDRE LEITE DA SILVA"
"ALEXANDRE PADILHA","PT","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",956,"Brasília - DF - CEP 70160-900","3215-5956","3215-2956","09","14","dep.alexandrepadilha@camara.leg.br","ALEXANDRE PADILHA","Exmo. Senhor Deputado","ALEXANDRE ROCHA SANTOS PADILHA"
"ALEXANDRE SERFIOTIS","PSD","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",554,"Brasília - DF - CEP 70160-900","3215-5554","3215-2554","11","29","dep.alexandreserfiotis@camara.leg.br","ALEXANDRE SERFIOTIS","Exmo. Senhor Deputado","ALEXANDRE AUGUSTUS SERFIOTIS"
"ALEXIS FONTEYNE","NOVO","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",845,"Brasília - DF - CEP 70160-900","3215-5845","3215-2845","08","19","dep.alexisfonteyne@camara.leg.br","ALEXIS FONTEYNE","Exmo. Senhor Deputado","Alexis Joseph Steverlynck Fonteyne"
"ALICE PORTUGAL","PCdoB","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",420,"Brasília - DF - CEP 70160-900","3215-5420","3215-2420","05","16","dep.aliceportugal@camara.leg.br","ALICE PORTUGAL","Exma. Senhora Deputada","ALICE MAZZUCO PORTUGAL"
"ALIEL MACHADO","PSB","PR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",220,"Brasília - DF - CEP 70160-900","3215-5220","3215-2220","02","26","dep.alielmachado@camara.leg.br","ALIEL MACHADO","Exmo. Senhor Deputado","ALIEL MACHADO BARK"
"ALINE GURGEL","REPUBLICANOS","AP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",342,"Brasília - DF - CEP 70160-900","3215-5342","3215-2342","11","25","dep.alinegurgel@camara.leg.br","ALINE GURGEL","Exma. Senhora Deputada","ALINE PARANHOS VARONIL GURGEL"
"ALINE SLEUTJES","PSL","PR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",550,"Brasília - DF - CEP 70160-900","3215-5550","3215-2550","07","26","dep.alinesleutjes@camara.leg.br","ALINE SLEUTJES","Exma. Senhora Deputada","ALINE SLEUTJES"
"ALTINEU CÔRTES","PL","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",336,"Brasília - DF - CEP 70160-900","3215-5336","3215-2336","09","13","dep.altineucortes@camara.leg.br","ALTINEU CORTES","Exmo. Senhor Deputado","ALTINEU CÔRTES FREITAS COUTINHO"
"ALUISIO MENDES","PSC","MA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",931,"Brasília - DF - CEP 70160-900","3215-5931","3215-2931","11","11","dep.aluisiomendes@camara.leg.br","ALUISIO MENDES","Exmo. Senhor Deputado","ALUISIO GUIMARAES MENDES FILHO"
"AMARO NETO","REPUBLICANOS","ES","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",515,"Brasília - DF - CEP 70160-900","3215-5515","3215-2515","12","04","dep.amaroneto@camara.leg.br","AMARO NETO","Exmo. Senhor Deputado","AMARO ROCHA NASCIMENTO NETO"
"ANDRÉ ABDON","PP","AP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",831,"Brasília - DF - CEP 70160-900","3215-5831","3215-2831","11","10","dep.andreabdon@camara.leg.br","ANDRE ABDON","Exmo. Senhor Deputado","ANDRE DOS SANTOS ABDON"
"ANDRÉ DE PAULA","PSD","PE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",754,"Brasília - DF - CEP 70160-900","3215-5754","3215-2754","07","22","dep.andredepaula@camara.leg.br","ANDRE DE PAULA","Exmo. Senhor Deputado","ANDRÉ CARLOS ALVES DE PAULA FILHO"
"ANDRÉ FERREIRA","PSC","PE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",450,"Brasília - DF - CEP 70160-900","3215-5450","3215-2450","12","10","dep.andreferreira@camara.leg.br","ANDRE FERREIRA","Exmo. Senhor Deputado","ANDRÉ FERREIRA RODRIGUES"
"ANDRÉ FIGUEIREDO","PDT","CE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",940,"Brasília - DF - CEP 70160-900","3215-5940","3215-2940","11","10","dep.andrefigueiredo@camara.leg.br","ANDRE FIGUEIREDO","Exmo. Senhor Deputado","ANDRÉ PEIXOTO FIGUEIREDO LIMA"
"ANDRÉ FUFUCA","PP","MA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",945,"Brasília - DF - CEP 70160-900","3215-5945","3215-2945","08","27","dep.andrefufuca@camara.leg.br","ANDRE FUFUCA","Exmo. Senhor Deputado","ANDRE LUIZ CARVALHO RIBEIRO"
"ANDRÉ JANONES","AVANTE","MG","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",580,"Brasília - DF - CEP 70160-900","3215-5580","3215-2580","05","05","dep.andrejanones@camara.leg.br","ANDRE JANONES","Exmo. Senhor Deputado","ANDRE LUIS GASPAR JANONES"
"ANGELA AMIN","PP","SC","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",252,"Brasília - DF - CEP 70160-900","3215-5252","3215-2252","12","20","dep.angelaamin@camara.leg.br","ANGELA AMIN","Exma. Senhora Deputada","ANGELA REGINA HEINZEN AMIN HELOU"
"ANTONIO BRITO","PSD","BA","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",479,"Brasília - DF - CEP 70160-900","3215-5479","3215-2479","01","17","dep.antoniobrito@camara.leg.br","ANTONIO BRITO","Exmo. Senhor Deputado","ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO"
"ARLINDO CHINAGLIA","PT","SP","T","Câmara dos Deputados, Edifício Anexo","0",", gabinete nº",4,"Brasília - DF - CEP 70160-900","3215-5966","3215-5966","12","24","dep.arlindochinaglia@camara.leg.br","ARLINDO CHINAGLIA","Exmo. Senhor Deputado","ARLINDO CHIGNALIA JUNIOR"
"ARNALDO JARDIM","CIDADANIA","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",245,"Brasília - DF - CEP 70160-900","3215-5245","3215-2245","05","08","dep.arnaldojardim@camara.leg.br","ARNALDO JARDIM","Exmo. Senhor Deputado","ARNALDO CALIL PEREIRA JARDIM"
"AROLDO MARTINS","REPUBLICANOS","PR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",437,"Brasília - DF - CEP 70160-900","3215-5437","3215-2437","07","03","dep.aroldomartins@camara.leg.br","AROLDO MARTINS","Exmo. Senhor Deputado","JOSE AROLDO SOUZA MARTINS"
"ARTHUR LIRA","PP","AL","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",942,"Brasília - DF - CEP 70160-900","3215-5942","3215-2942","06","25","dep.arthurlira@camara.leg.br","ARTHUR LIRA","Exmo. Senhor Deputado","ARTHUR CÉSAR PEREIRA DE LIRA"
"ARTHUR OLIVEIRA MAIA","DEM","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",830,"Brasília - DF - CEP 70160-900","3215-5830","3215-2830","08","17","dep.arthuroliveiramaia@camara.leg.br","ARTHUR OLIVEIRA MAIA","Exmo. Senhor Deputado","ARTHUR DE OLIVEIRA MAIA DA SILVA"
"ASSIS CARVALHO","PT","PI","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",909,"Brasília - DF - CEP 70160-900","3215-5909","3215-2909","09","09","dep.assiscarvalho@camara.leg.br","ASSIS CARVALHO","Exmo. Senhor Deputado","FRANCISCO DE ASSIS CARVALHO GONÇALVES"
"ÁTILA LINS","PP","AM","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",730,"Brasília - DF - CEP 70160-900","3215-5730","3215-2730","11","22","dep.atilalins@camara.leg.br","ATILA LINS","Exmo. Senhor Deputado","ÁTILA SIDNEY LINS ALBUQUERQUE"
"ÁTILA LIRA","PSB","PI","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",640,"Brasília - DF - CEP 70160-900","3215-5640","3215-2640","04","07","dep.atilalira@camara.leg.br","ATILA LIRA","Exmo. Senhor Deputado","ÁTILA FREITAS LIRA"
"AUGUSTO COUTINHO","SOLIDARIEDADE","PE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",314,"Brasília - DF - CEP 70160-900","3215-5314","3215-2314","10","22","dep.augustocoutinho@camara.leg.br","AUGUSTO COUTINHO","Exmo. Senhor Deputado","AUGUSTO RODRIGUES COUTINHO DE MELO"
"ÁUREA CAROLINA","PSOL","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",619,"Brasília - DF - CEP 70160-900","3215-5619","3215-2619","11","20","dep.aureacarolina@camara.leg.br","AUREA CAROLINA","Exma. Senhora Deputada","ÁUREA CAROLINA DE FREITAS E SILVA"
"AUREO RIBEIRO","SOLIDARIEDADE","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",212,"Brasília - DF - CEP 70160-900","3215-5212","3215-2212","02","17","dep.aureoribeiro@camara.leg.br","AUREO RIBEIRO","Exmo. Senhor Deputado","AUREO LIDIO MOREIRA RIBEIRO"
"BACELAR","PODE","BA","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",381,"Brasília - DF - CEP 70160-900","3215-5381","3215-2381","07","09","dep.bacelar@camara.leg.br","BACELAR","Exmo. Senhor Deputado","JOAO CARLOS BACELAR BATISTA"
"BALEIA ROSSI","MDB","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",829,"Brasília - DF - CEP 70160-900","3215-5829","3215-2829","06","09","dep.baleiarossi@camara.leg.br","BALEIA ROSSI","Exmo. Senhor Deputado","LUIZ FELIPE BALEIA TENUTO ROSSI"
"BENEDITA DA SILVA","PT","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",330,"Brasília - DF - CEP 70160-900","3215-5330","3215-2330","04","26","dep.beneditadasilva@camara.leg.br","BENEDITA DA SILVA","Exma. Senhora Deputada","BENEDITA SOUZA DA SILVA SAMPAIO"
"BENES LEOCÁDIO","REPUBLICANOS","RN","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",417,"Brasília - DF - CEP 70160-900","3215-5417","3215-2417","04","22","dep.benesleocadio@camara.leg.br","BENES LEOCADIO","Exmo. Senhor Deputado","LUIZ BENES LEOCADIO DE ARAUJO"
"BETO FARO","PT","PA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",723,"Brasília - DF - CEP 70160-900","3215-5723","3215-2723","06","20","dep.betofaro@camara.leg.br","BETO FARO","Exmo. Senhor Deputado","JOSÉ ROBERTO OLIVEIRA FARO"
"BETO PEREIRA","PSDB","MS","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",240,"Brasília - DF - CEP 70160-900","3215-5240","3215-2240","11","14","dep.betopereira@camara.leg.br","BETO PEREIRA","Exmo. Senhor Deputado","HUMBERTO REZENDE PEREIRA"
"BETO ROSADO","PP","RN","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",840,"Brasília - DF - CEP 70160-900","3215-5840","3215-2840","02","01","dep.betorosado@camara.leg.br","BETO ROSADO","Exmo. Senhor Deputado","CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO"
"BIA CAVASSA","PSDB","MS","S","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",448,"Brasília - DF - CEP 70160-900","3215-5448","3215-2448","01","14","dep.biacavassa@camara.leg.br","BIA CAVASSA","Exma. Senhora Deputada","BEATRIZ ROSALIA RIBEIRO CAVASSA DE OLIVEIRA"
"BIA KICIS","PSL","DF","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",309,"Brasília - DF - CEP 70160-900","3215-5309","3215-2309","09","19","dep.biakicis@camara.leg.br","BIA KICIS","Exma. Senhora Deputada","BEATRIZ KICIS TORRENTS DE SORDI"
"BIBO NUNES","PSL","RS","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",518,"Brasília - DF - CEP 70160-900","3215-5518","3215-2518","01","09","dep.bibonunes@camara.leg.br","BIBO NUNES","Exmo. Senhor Deputado","ALCIBIO MESQUITA BIBO NUNES"
"BIRA DO PINDARÉ","PSB","MA","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",480,"Brasília - DF - CEP 70160-900","3215-5480","3215-2480","11","01","dep.biradopindare@camara.leg.br","BIRA DO PINDARE","Exmo. Senhor Deputado","UBIRAJARA DO PINDARÉ ALMEIDA SOUSA"
"BOCA ABERTA","PROS","PR","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",384,"Brasília - DF - CEP 70160-900","3215-5384","3215-2384","08","07","dep.bocaaberta@camara.leg.br","BOCA ABERTA","Exmo. Senhor Deputado","EMERSON MIGUEL PETRIV"
"BOHN GASS","PT","RS","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",469,"Brasília - DF - CEP 70160-900","3215-5469","3215-2469","02","05","dep.bohngass@camara.leg.br","BOHN GASS","Exmo. Senhor Deputado","ELVINO JOSÉ BOHN GASS"
"BOSCO COSTA","PL","SE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",742,"Brasília - DF - CEP 70160-900","3215-5742","3215-2742","09","28","dep.boscocosta@camara.leg.br","BOSCO COSTA","Exmo. Senhor Deputado","JOÃO BOSCO DA COSTA"
"BOSCO SARAIVA","SOLIDARIEDADE","AM","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",404,"Brasília - DF - CEP 70160-900","3215-5404","3215-2404","10","10","dep.boscosaraiva@camara.leg.br","BOSCO SARAIVA","Exmo. Senhor Deputado","JOÃO BOSCO GOMES SARAIVA"
"BRUNA FURLAN","PSDB","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",836,"Brasília - DF - CEP 70160-900","3215-5836","3215-2836","04","28","dep.brunafurlan@camara.leg.br","BRUNA FURLAN","Exma. Senhora Deputada","BRUNA DIAS FURLAN"
"CACÁ LEÃO","PP","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",320,"Brasília - DF - CEP 70160-900","3215-5320","3215-2320","11","03","dep.cacaleao@camara.leg.br","CACA LEAO","Exmo. Senhor Deputado","CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO"
"CAMILO CAPIBERIBE","PSB","AP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",209,"Brasília - DF - CEP 70160-900","3215-5209","3215-2209","05","23","dep.camilocapiberibe@camara.leg.br","CAMILO CAPIBERIBE","Exmo. Senhor Deputado","CARLOS CAMILO GÓES CAPIBERIBE"
"CAPITÃO ALBERTO NETO","REPUBLICANOS","AM","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",933,"Brasília - DF - CEP 70160-900","3215-5933","3215-2933","05","05","dep.capitaoalbertoneto@camara.leg.br","CAPITAO ALBERTO NETO","Exmo. Senhor Deputado","ALBERTO BARROS CAVALCANTE NETO"
"CAPITÃO AUGUSTO","PL","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",358,"Brasília - DF - CEP 70160-900","3215-5358","3215-2358","10","04","dep.capitaoaugusto@camara.leg.br","CAPITAO AUGUSTO","Exmo. Senhor Deputado","JOSE AUGUSTO ROSA"
"CAPITÃO WAGNER","PROS","CE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",711,"Brasília - DF - CEP 70160-900","3215-5711","3215-2711","01","21","dep.capitaowagner@camara.leg.br","CAPITAO WAGNER","Exmo. Senhor Deputado","WAGNER SOUSA GOMES"
"CARLA ZAMBELLI","PSL","SP","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",482,"Brasília - DF - CEP 70160-900","3215-5482","3215-2482","07","03","dep.carlazambelli@camara.leg.br","CARLA ZAMBELLI","Exma. Senhora Deputada","CARLA ZAMBELLI SALGADO"
"CARLOS BEZERRA","MDB","MT","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",815,"Brasília - DF - CEP 70160-900","3215-5815","3215-2815","11","04","dep.carlosbezerra@camara.leg.br","CARLOS BEZERRA","Exmo. Senhor Deputado","CARLOS GOMES BEZERRA"
"CARLOS CHIODINI","MDB","SC","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",925,"Brasília - DF - CEP 70160-900","3215-5925","3215-2925","03","08","dep.carloschiodini@camara.leg.br","CARLOS CHIODINI","Exmo. Senhor Deputado","CARLOS ALBERTO CHIODINI"
"CARLOS GOMES","REPUBLICANOS","RS","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",285,"Brasília - DF - CEP 70160-900","3215-5285","3215-2285","06","13","dep.carlosgomes@camara.leg.br","CARLOS GOMES","Exmo. Senhor Deputado","ANTONIO CARLOS GOMES DA SILVA"
"CARLOS HENRIQUE GAGUIM","DEM","TO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",214,"Brasília - DF - CEP 70160-900","3215-5214","3215-2214","04","21","dep.carloshenriquegaguim@camara.leg.br","CARLOS HENRIQUE GAGUIM","Exmo. Senhor Deputado","CARLOS HENRIQUE AMORIM"
"CARLOS JORDY","PSL","RJ","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",383,"Brasília - DF - CEP 70160-900","3215-5383","3215-2383","02","08","dep.carlosjordy@camara.leg.br","CARLOS JORDY","Exmo. Senhor Deputado","Carlos Roberto Coelho de Mattos Júnior"
"CARLOS SAMPAIO","PSDB","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",207,"Brasília - DF - CEP 70160-900","3215-5207","3215-2207","03","31","dep.carlossampaio@camara.leg.br","CARLOS SAMPAIO","Exmo. Senhor Deputado","CARLOS HENRIQUE FOCESI SAMPAIO"
"CARLOS VERAS","PT","PE","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",466,"Brasília - DF - CEP 70160-900","3215-5466","3215-2466","08","10","dep.carlosveras@camara.leg.br","CARLOS VERAS","Exmo. Senhor Deputado","JOSÉ CARLOS VERAS DOS SANTOS"
"CARLOS ZARATTINI","PT","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",808,"Brasília - DF - CEP 70160-900","3215-5808","3215-2808","06","08","dep.carloszarattini@camara.leg.br","CARLOS ZARATTINI","Exmo. Senhor Deputado","CARLOS ALBERTO ROLIM ZARATTINI"
"CARMEN ZANOTTO","CIDADANIA","SC","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",418,"Brasília - DF - CEP 70160-900","3215-5418","3215-2418","10","06","dep.carmenzanotto@camara.leg.br","CARMEN ZANOTTO","Exma. Senhora Deputada","CARMEN EMÍLIA BONFÁ ZANOTTO"
"CAROLINE DE TONI","PSL","SC","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",476,"Brasília - DF - CEP 70160-900","3215-5476","3215-2476","09","01","dep.carolinedetoni@camara.leg.br","CAROLINE DE TONI","Exma. Senhora Deputada","CAROLINE RODRIGUES DE TONI"
"CÁSSIO ANDRADE","PSB","PA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",433,"Brasília - DF - CEP 70160-900","3215-5433","3215-2433","09","12","dep.cassioandrade@camara.leg.br","CASSIO ANDRADE","Exmo. Senhor Deputado","CASSIO COELHO ANDRADE"
"CELINA LEÃO","PP","DF","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",260,"Brasília - DF - CEP 70160-900","3215-5260","3215-2260","03","02","dep.celinaleao@camara.leg.br","CELINA LEAO","Exma. Senhora Deputada","CELINA LEAO HIZIM FERREIRA"
"CÉLIO MOURA","PT","TO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",832,"Brasília - DF - CEP 70160-900","3215-5832","3215-2832","08","13","dep.celiomoura@camara.leg.br","CELIO MOURA","Exmo. Senhor Deputado","CELIO ALVES DE MOURA"
"CÉLIO SILVEIRA","PSDB","GO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",511,"Brasília - DF - CEP 70160-900","3215-5511","3215-2511","09","19","dep.celiosilveira@camara.leg.br","CELIO SILVEIRA","Exmo. Senhor Deputado","CELIO ANTONIO DA SILVEIRA"
